Status,Hostname,Type,Internal IP,Windows Update Server,Site,OS,Patch Status,AV Status,Last Seen,Last Reboot,Model,Groups
Offline,SRLA-LT128,Laptop,192.168.1.219,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Reboot Required,Running And Up To Date,2025-01-22T04:09:19Z,2024-12-16T19:42:35Z,21JN005AUS,
Offline,SRLA-LT129,Laptop,10.0.0.73,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Reboot Required,Running And Up To Date,2024-12-04T08:43:47Z,2024-10-05T08:48:04Z,21JN005AUS,
Offline,SRLA-LT130,Laptop,192.168.48.227,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-10T06:31:47Z,2024-12-16T19:10:50Z,21JN005AUS,
Online,SRLA-LT131,Laptop,192.168.1.45,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T06:37:44Z,2025-01-22T03:43:42Z,21JN005AUS,
Offline,SRLA-LT132,Laptop,192.168.1.11,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T03:29:29Z,2025-01-16T01:39:12Z,21JN005AUS,
Offline,SRLA-LT133,Laptop,10.10.20.156,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T01:14:24Z,2025-01-15T19:29:10Z,21JN005AUS,
Offline,SRLA-LT134,Laptop,10.10.20.218,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Business 10.0.22631,Install Error,Running And Up To Date,2025-01-22T01:28:04Z,2025-01-15T19:35:00Z,21JTCTO1WW,
Offline,SRLA-LT135,Laptop,192.168.1.55,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T04:58:14Z,2025-01-16T20:11:42Z,21JN005AUS,
Offline,SRLA-LT136,Laptop,172.16.119.124,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.26100,Fully Patched,Running And Up To Date,2025-01-22T01:43:45Z,2025-01-16T22:11:32Z,21JN005AUS,
Offline,SROAK-LT003,Laptop,172.16.119.136,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T01:20:49Z,2025-01-16T20:25:49Z,20TD001NUS,
Offline,SROAK-LT099,Laptop,10.0.0.99,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2024-11-18T18:24:25Z,2024-11-15T19:31:46Z,21JNCTO1WW,
Offline,SROAK-LT112,Laptop,172.16.119.165,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T03:04:52Z,2025-01-21T22:58:17Z,21JN005DUS,
Offline,SROAK-LT113,Laptop,172.16.119.156,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T00:14:11Z,2025-01-21T20:25:17Z,21JN005DUS,
Offline,SROAK-LT115,Laptop,192.168.68.110,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Fully Patched,Running And Up To Date,2025-01-22T05:10:30Z,2025-01-16T19:25:55Z,21JN005DUS,
Offline,SROAK-LT116,Laptop,10.10.20.224,,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Approved Pending,Running And Up To Date,2025-01-14T22:40:39Z,2025-01-14T22:34:07Z,21JN003YUS,
Offline,SROAK-LT117,Laptop,192.168.1.12,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Install Error,Running And Up To Date,2025-01-19T04:12:10Z,2025-01-17T23:00:10Z,21JN003YUS,
Offline,SROAK-LT118,Laptop,192.168.254.37,https://patching.stspartner.com:8531,"Sanders Roberts LLP ",Microsoft Windows 11 Pro 10.0.22631,Reboot Required,Running And Up To Date,2024-12-22T23:35:37Z,2024-10-28T00:26:43Z,21JN003YUS,
